id, topics,components,pr_number
382,National Security; ,Office of the Attorney General; ,18 - 57; 
383,None,"Criminal Division; USAO - Tennessee, Middle; ",18-55; 
384,Immigration; ,Civil Division; ,18-56; 
385,None,Criminal Division; USAO - Minnesota; ,18-54; 
386,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Southern; ",18-52; 
387,Tax; ,Tax Division; USAO - Kansas; ,18-49; 
388,Civil Rights; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-50; 
389,None,Federal Bureau of Prisons (BOP); ,18-51; 
390,None,Criminal Division; ,18-48; 
391,Financial Fraud; ,Criminal Division; ,18-47; 
392,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - Virginia, Eastern; ",18-46; 
393,None,Office of the Attorney General; ,18 - 44; 
394,None,Office of the Associate Attorney General; ,18 - 40; 
395,False Claims Act; ,"Civil Division; USAO - Georgia, Southern; ",18-41; 
396,Immigration; ,Office of the Attorney General; ,18 - 42; 
397,None,Office of the Attorney General; ,18-38; 
398,National Security; ,"USAO - California, Southern; ",None
399,Health Care Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Florida, Middle; ",18-37; 
400,Wildlife; ,Environment and Natural Resources Division; ,18-36; 
401,Tax; ,"Tax Division; USAO - North Carolina, Middle; ",18-35; 
402,Foreign Corruption; ,Criminal Division; USAO - Maryland; ,18-34; 
403,Tax; ,"Tax Division; USAO - Virginia, Eastern; ",18-33; 
404,Health Care Fraud; ,"Criminal Division; USAO - Michigan, Eastern; ",18-32; 
405,None,Federal Bureau of Investigation (FBI); National Security Division (NSD); ,18 - 31; 
406,Consumer Protection; Health Care Fraud; ,Civil Division; USAO - South Dakota; ,18-28; 
407,Counterterrorism; ,Criminal Division; Office of the Attorney General; ,18-30; 
408,Drug Trafficking; ,"Criminal Division; USAO - California, Southern; USAO - Virginia, Eastern; ",18-29; 
409,Human Trafficking; Project Safe Childhood; ,"Criminal Division; USAO - Virginia, Eastern; ",18-27; 
410,Human Trafficking; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-22; 
411,Health Care Fraud; ,"Criminal Division; USAO - Texas, Southern; ",18-25; 
412,Tax; ,"Tax Division; USAO - Illinois, Northern; ",18-24; 
413,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Southern; ",18-26; 
414,None,Executive Office for Immigration Review; Office of the Attorney General; ,None
415,Cyber Crime; ,"Criminal Division; USAO - Ohio, Northern; ",18-21; 
416,Health Care Fraud; ,"Civil Division; USAO - Connecticut; USAO - Texas, Southern; USAO - Texas, Western; USAO - Virginia, Eastern; ",18-20; 
417,None,Office of the Attorney General; ,None
418,Counterterrorism; ,"National Security Division (NSD); USAO - Florida, Middle; ",18-18; 
419,Immigration; ,Civil Division; ,18-17; 
420,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,18-16; 
421,Foreign Corruption; ,"Criminal Division; USAO - New York, Southern; ",18-11; 
422,Drug Trafficking; ,Office of the Attorney General; ,18 - 14; 
423,None,"Criminal Division; USAO - Texas, Western; ",18-13; 
424,Counterterrorism; ,"National Security Division (NSD); USAO - California, Eastern; ",18-10; 
425,None,"Criminal Division; USAO - Louisiana, Eastern; ",18-9; 
426,None,Office of the Attorney General; ,18-8; 
427,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - New York, Southern; ",18-6; 
428,None,Criminal Division; ,18-7; 
429,Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; ,18-5; 
430,None,Office of the Attorney General; ,18 - 4; 
431,None,"Criminal Division; USAO - New York, Eastern; ",18-2; 
432,Antitrust; ,Antitrust Division; Federal Bureau of Investigation (FBI); ,18-3; 
433,Indian Country Law and Justice; ,Office of the Associate Attorney General; ,18 - 1; 
434,Tax; ,"Tax Division; USAO - Florida, Southern; ",17-1479; 
435,Civil Rights; Human Trafficking; ,"Civil Rights Division; USAO - Ohio, Northern; ",17-1471; 
436,False Claims Act; ,"Civil Division; USAO - California, Central; USAO - Illinois, Southern; ",None
437,Drug Trafficking; ,Office of the Attorney General; ,None
438,Financial Fraud; ,Criminal Division; Criminal - Criminal Fraud Section; ,17-1476; 
439,Immigration; National Security; ,USAO - Connecticut; ,None
440,National Security; ,"National Security Division (NSD); USAO - California, Eastern; ",17-1474; 
441,Civil Rights; Human Trafficking; ,"Civil Rights Division; USAO - Washington, Western; ",17-1472; 
442,Antitrust; ,Antitrust Division; ,17-1473; 
443,Financial Fraud; ,"Criminal Division; USAO - Virginia, Eastern; ",17-1470; 
444,None,Office of the Attorney General; ,17-1469; 
445,False Claims Act; ,Civil Division; ,17-1467; 
446,Financial Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - New York, Southern; ",17-1466; 
447,Immigration; ,Executive Office for Immigration Review; ,17-1468; 
448,Antitrust; ,Antitrust Division; ,17-1463; 
449,None,Office of the Attorney General; ,17-1450; 
450,Tax; ,Tax Division; USAO - Massachusetts; ,17-1462; 
451,Consumer Protection; Elder Justice; ,Civil Division; ,17-1461; 
452,Financial Fraud; ,"Criminal Division; USAO - Florida, Southern; ",17-1460; 
453,Counterterrorism; ,National Security Division (NSD); ,17-1459; 
454,None,Community Oriented Policing Services (COPS); ,17-1458; 
455,Environment; ,Environment and Natural Resources Division; ,17-1457; 
456,Prescription Drugs; ,Office of the Attorney General; ,17-1455; 
457,Indian Country Law and Justice; ,Office of the Associate Attorney General; Office of the Deputy Attorney General; Office of Tribal Justice; ,17-1456; 
458,Health Care Fraud; ,Civil Division; USAO - Massachusetts; ,17-1454; 
459,Environment; ,Environment and Natural Resources Division; ,17-1453; 
460,Environment; ,Environment and Natural Resources Division; ,17-1453; 
461,Tax; ,"Tax Division; USAO - Virginia, Western; ",17-1448; 
462,Drug Trafficking; ,Criminal Division; ,17-1452; 
463,Counterterrorism; ,Federal Bureau of Investigation (FBI); National Security Division (NSD); ,17-1451; 
464,Tax; ,"Tax Division; USAO - Georgia, Middle; ",17-1449; 
465,Health Care Fraud; ,"Civil Division; USAO - North Carolina, Western; USAO - Pennsylvania, Eastern; ",17-1447; 
466,False Claims Act; ,Civil Division; USAO - Colorado; ,17-1446; 
467,Antitrust; Financial Fraud; ,Antitrust Division; ,17-1444; 
468,Civil Rights; Immigration; ,Civil Rights Division; USAO - Nebraska; ,17-1441; 
469,Violent Crime; ,Criminal Division; USAO - Massachusetts; ,17-1443; 
470,Antitrust; ,Antitrust Division; ,17-1442; 
471,Counterterrorism; ,U.S. Attorneys (USAO); ,17-1440; 
472,Counterterrorism; ,National Security Division (NSD); ,17-1439; 
473,National Security; ,Office of the Attorney General; ,17-1438; 
474,Civil Rights; ,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,None
475,Immigration; ,"Criminal Division; USAO - North Carolina, Western; ",17-1433; 
476,Health Care Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - New York, Eastern; ",17-1435; 
477,Civil Rights; ,Civil Rights Division; Civil Rights - Immigrant and Employee Rights Section; ,17-1434; 
478,None,Criminal Division; ,17-1431; 
479,Violent Crime; ,Office of the Attorney General; ,17-1426; 
480,Environment; ,Environment and Natural Resources Division; ,17-1429; 
481,None,"Criminal Division; USAO - Florida, Southern; ",17-1424; 
482,Environment; ,"Environment and Natural Resources Division; USAO - Texas, Eastern; ",17-1425; 
483,Tax; ,Tax Division; USAO - Maryland; ,17-1421; 
484,None,Criminal Division; ,17-1423; 
485,False Claims Act; Health Care Fraud; ,"Civil Division; USAO - Texas, Northern; ",17-1417; 
486,Environment; ,"Environment and Natural Resources Division; USAO - Michigan, Eastern; ",17-1420; 
487,Environment; ,"Environment and Natural Resources Division; USAO - Georgia, Middle; ",17-1419; 
488,None,Environment and Natural Resources Division; ,17-1418; 
489,Tax; ,"Tax Division; USAO - West Virginia, Southern; ",17-1415; 
490,None,"Criminal Division; USAO - North Carolina, Eastern; ",17-1416; 
491,None,Criminal Division; ,17-1412; 
492,Tax; ,"Tax Division; USAO - Louisiana, Eastern; ",17-1413; 
493,Tax; ,Tax Division; ,17-1411; 
494,Opioids; ,USAO - Nevada; ,None
495,None,Criminal Division; USAO - Alaska; USAO - New Jersey; ,17-1410; 
496,Tax; ,Tax Division; USAO - Colorado; ,17-1406; 
497,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Southern; ",17-1403; 
498,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Southern; ",17-1403; 
499,Environment; ,Environment and Natural Resources Division; ,17-1405; 
500,Health Care Fraud; False Claims Act; ,"Civil Division; USAO - Florida, Middle; ",17-1404; 
501,None,Civil Rights Division; Civil Rights - Employment Litigation Section; ,17-1400; 
502,Counterterrorism; ,"National Security Division (NSD); USAO - Texas, Southern; ",17-1398; 
503,None,"Criminal Division; USAO - Florida, Southern; ",17-1397; 
504,None,Office of the Attorney General; ,17-1396; 
505,None,National Security Division (NSD); ,17-1394; 
506,Tax; ,"Tax Division; USAO - Tennessee, Western; ",17-1393; 
507,Project Safe Childhood; ,"Criminal Division; Criminal - Child Exploitation and Obscenity Section; Federal Bureau of Investigation (FBI); USAO - Virginia, Eastern; ",17-1392; 
508,Civil Rights; ,"Civil Rights Division; USAO - Georgia, Northern; ",17-1391; 
509,False Claims Act; ,"Civil Division; USAO - Arkansas, Eastern; ",17-1368; 
510,StopFraud; Cyber Crime; ,"Criminal Division; Federal Bureau of Investigation (FBI); USAO - Tennessee, Middle; ",17-1390; 
511,Public Corruption; ,"Criminal Division; Federal Bureau of Investigation (FBI); USAO - Pennsylvania, Eastern; ",17-1389; 
512,Health Care Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; Federal Bureau of Investigation (FBI); USAO - Texas, Southern; ",17-1388; 
513,Tax; ,"Tax Division; USAO - Louisiana, Eastern; ",17-1386; 
514,None,Office of the Attorney General; ,17-1384; 
515,Tax; ,Tax Division; USAO - Utah; ,17-1385; 
516,Asset Forfeiture; ,Asset Forfeiture Program; Office of the Deputy Attorney General; ,17-1380; 
517,None,Civil Rights Division; Civil Rights - Criminal Section; ,17-1382; 
518,Asset Forfeiture; ,Asset Forfeiture Program; Criminal Division; ,17-1383; 
519,None,Criminal Division; Federal Bureau of Investigation (FBI); USAO - Massachusetts; ,17-1381; 
520,Environment; ,"Criminal Division; Environment and Natural Resources Division; Federal Bureau of Investigation (FBI); USAO - Michigan, Eastern; ",17-1379; 
521,Tax; Health Care Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Virginia, Eastern; ",17-1378; 
522,Public Corruption; Health Care Fraud; Financial Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; Federal Bureau of Investigation (FBI); Criminal Investigative Division (FBI); USAO - Kentucky, Eastern; ",17-1377; 
523,None,Office of the Attorney General; ,17-1375; 
524,Immigration; ,Executive Office for Immigration Review; ,17-1376; 
525,Immigration; ,"USAO - California, Northern; ",None
526,None,Criminal Division; ,17-1374; 
527,Environment; ,Environment and Natural Resources Division; ,17-1373; 
528,None,"Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF); Office of the Attorney General; ",17-1371; 
529,Antitrust; ,Antitrust Division; ,17-1370; 
530,None,Justice Management Division; Office of Public Affairs; ,17-1369; 
531,None,"Criminal Division; USAO - Michigan, Eastern; ",17-1367; 
532,Counterterrorism; ,"National Security Division (NSD); USAO - Texas, Southern; ",17-1365; 
533,None,"Criminal Division; USAO - Florida, Middle; ",17-1364; 
534,Tax; ,"Tax Division; USAO - New York, Eastern; ",17-1362; 
535,None,Civil Rights Division; Civil Rights - Immigrant and Employee Rights Section; ,17-1361; 
536,Health Care Fraud; False Claims Act; ,"Civil Division; USAO - Texas, Northern; ",17-1355; 
537,Tax; ,Tax Division; ,17-1360; 
538,Counterintelligence and Export Control; ,National Security Division (NSD); USAO - Maryland; ,17-1359; 
539,None,"Criminal Division; USAO - Virginia, Eastern; ",17-1358; 
540,None,Civil Rights Division; Civil Rights - Criminal Section; Office of the Attorney General; ,17-1352; 
541,None,Criminal Division; ,17-1357; 
542,Indian Country Law and Justice; Human Trafficking; ,Office of the Associate Attorney General; ,17-1356; 
543,None,Criminal Division; ,17-1351; 
544,None,Civil Rights Division; Civil Rights - Criminal Section; ,17-1353; 
545,None,"Criminal Division; USAO - Georgia, Northern; USAO - Nevada; ",17-1354; 
546,None,Criminal Division; ,17-1350; 
547,Antitrust; ,Antitrust Division; Federal Bureau of Investigation (FBI); ,17-1349; 
548,None,"Criminal Division; USAO - Texas, Southern; ",17-1348; 
549,None,Criminal Division; ,17-1347; 
550,None,"Criminal Division; USAO - North Carolina, Eastern; ",17-1343; 
551,Drug Trafficking; Grants; ,Office of the Attorney General; ,17-1342; 
552,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - California, Northern; ",17-1341; 
553,Financial Fraud; ,"Criminal Division; USAO - Georgia, Northern; ",17-1340; 
554,Counterterrorism; ,National Security Division (NSD); USAO - District of Columbia; ,17-1339; 
555,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,17-1338; 
556,Tax; ,Tax Division; ,17-1337; 
557,Project Safe Childhood; ,"Criminal Division; Criminal - Child Exploitation and Obscenity Section; USAO - Alabama, Northern; ",17-1335; 
558,None,"Criminal Division; USAO - California, Central; ",17-1334; 
559,Environment; ,Environment and Natural Resources Division; USAO - North Dakota; ,17-1333; 
560,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - Pennsylvania, Western; ",17-1332; 
561,None,Civil Rights Division; Civil Rights - Criminal Section; ,17-1328; 
562,None,Civil Rights Division; Civil Rights - Criminal Section; ,17-1327; 
563,None,"Criminal Division; USAO - Florida, Middle; ",17-1330; 
564,Consumer Protection; ,Civil Division; ,17-1331; 
565,Violent Crime; Firearms Offenses; ,"Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF); Federal Bureau of Investigation (FBI); Office of the Attorney General; ",17-1329; 
566,Prescription Drugs; Consumer Protection; Health Care Fraud; ,"Civil Division; USAO - Indiana, Southern; ",17-1325; 
567,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Southern; ",17-1326; 
568,Consumer Protection; Elder Justice; ,"Civil Division; Office of the Associate Attorney General; USAO - New York, Eastern; ",Fraudsters Allegedly Scammed Elderly Victims Out of Hundreds of Millions of Dollars; 
569,Immigration; ,Civil Division; Office of the Attorney General; ,17-1319; 
570,None,"Criminal Division; USAO - Florida, Southern; ",17-1322; 
571,None,"Criminal Division; USAO - Florida, Southern; ",17-1321; 
572,None,Civil Rights Division; Civil Rights - Criminal Section; ,17-1320; 
573,None,Civil Rights Division; Civil Rights - Criminal Section; ,17-1311; 
574,Antitrust; ,Antitrust Division; ,17-1316; 
575,None,Criminal Division; USAO - Nebraska; ,17-1318; 
576,None,"Criminal Division; USAO - New York, Eastern; ",17-1317; 
577,None,"Criminal Division; USAO - New York, Southern; ",17-1315; 
578,Environment; ,Environment and Natural Resources Division; USAO - Virgin Islands; ,17-1314; 
579,None,Community Oriented Policing Services (COPS); Office of the Attorney General; ,17-1313; 
580,Antitrust; ,Antitrust Division; ,17-1312; 
581,None,Office of the Associate Attorney General; ,17-1309; 
582,Tax; ,"Tax Division; USAO - North Carolina, Middle; ",17-1307; 
583,Tax; ,"Tax Division; USAO - North Carolina, Middle; ",17-1303; 
584,None,"Criminal Division; USAO - Tennessee, Middle; ",17-1304; 
585,None,Civil Rights Division; Civil Rights - Immigrant and Employee Rights Section; ,17-1293; 
586,None,"Criminal Division; USAO - Virginia, Eastern; ",17-1305; 
587,None,Office of the Attorney General; ,17-1301; 
588,False Claims Act; ,"Civil Division; USAO - Mississippi, Southern; ",17-1299; 
589,None,Criminal Division; ,17-1297; 
590,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,17-1294; 
591,None,"Criminal Division; USAO - Virginia, Eastern; ",17-1296; 
592,None,Criminal Division; ,17-1295; 
593,Grants; ,Office of Justice Programs (OJP); Office of the Attorney General; ,17-1292; 
